timestamps	CRIX
12.05.2018	27634.15668
13.05.2018	28148.73795
14.05.2018	29243.11465
15.05.2018	29115.71744
16.05.2018	27983.7833
17.05.2018	27690.04233
18.05.2018	26429.30847
19.05.2018	27044.56321
20.05.2018	26892.88316
21.05.2018	27934.04266
22.05.2018	27440.87567
23.05.2018	25891.09714
24.05.2018	23995.07506
25.05.2018	24609.51746
26.05.2018	24066.49875
27.05.2018	23795.06782
28.05.2018	23590.06629
29.05.2018	22109.11795
30.05.2018	23686.37178
31.05.2018	23494.87395
01.06.2018	23939.0156
02.06.2018	24106.17392
03.06.2018	24731.1309
04.06.2018	25325.67832
05.06.2018	24493.39897
06.06.2018	24998.55928
07.06.2018	24957.96713
08.06.2018	24958.91739
09.06.2018	24714.61062
10.06.2018	24224.50338
11.06.2018	21757.76606
12.06.2018	22163.66605
13.06.2018	20841.71742
14.06.2018	20003.55753
15.06.2018	21256.30235
16.06.2018	20281.32228
17.06.2018	20490.38231
18.06.2018	20305.87702
19.06.2018	21134.4935
20.06.2018	21450.24732
21.06.2018	21321.10834
22.06.2018	21149.42438
23.06.2018	19016.68159
24.06.2018	19236.5515
25.06.2018	18858.89815
26.06.2018	19117.31872
27.06.2018	18228.69407
28.06.2018	18541.36339
29.06.2018	17714.35831
30.06.2018	18483.00886
01.07.2018	19112.83607
02.07.2018	18985.64819
03.07.2018	20023.71424
04.07.2018	19672.02393
05.07.2018	19886.29039
06.07.2018	19752.80234
07.07.2018	19789.17462
08.07.2018	20270.65502
